                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.5354,                 1.5686,                 1.5716,                 0.6075,                0.33809,                0.37768,                0.20825,                 1.6494,                 1.9853,                 1.7835,              0.0006604,              0.0006604,              0.0006604
                     13,                 1.4762,                 1.4866,                 1.5233,                0.66887,                0.34728,                0.37804,                0.20367,                 1.7553,                  2.021,                 1.8654,             0.00065974,             0.00065974,             0.00065974
                     14,                 1.4985,                 1.4387,                 1.5324,                0.62963,                0.36304,                0.36371,                0.18879,                  1.728,                 2.0099,                 1.8468,             0.00065908,             0.00065908,             0.00065908
                     15,                 1.4999,                 1.4791,                 1.5533,                0.63533,                0.36418,                0.40519,                0.20309,                 1.7151,                 1.7524,                 1.7837,             0.00065842,             0.00065842,             0.00065842
                     16,                 1.4524,                 1.4316,                  1.523,                0.62282,                0.32511,                0.37898,                0.20635,                 1.6455,                  1.751,                 1.7624,             0.00065776,             0.00065776,             0.00065776
                     17,                 1.4034,                  1.382,                 1.4945,                0.62686,                0.38252,                0.41578,                 0.2197,                 1.7341,                 1.7844,                 1.8264,              0.0006571,              0.0006571,              0.0006571
                     18,                 1.4213,                 1.3634,                 1.5086,                0.75028,                0.38514,                0.43884,                0.23449,                 1.6819,                 1.6745,                 1.7657,             0.00065643,             0.00065643,             0.00065643
                     19,                 1.4053,                 1.3349,                 1.4937,                0.73482,                 0.4038,                0.50431,                0.27074,                 1.6739,                 1.6042,                 1.7838,             0.00065577,             0.00065577,             0.00065577
                     20,                 1.3669,                 1.3292,                 1.4706,                0.66434,                0.39247,                0.42721,                0.23784,                 1.6897,                 1.6131,                 1.7965,             0.00065511,             0.00065511,             0.00065511
                     21,                 1.3817,                 1.3051,                 1.4743,                0.72988,                0.41337,                0.49834,                0.27732,                 1.6168,                 1.5026,                 1.7141,             0.00065445,             0.00065445,             0.00065445
                     22,                 1.3304,                 1.2488,                 1.4501,                0.81329,                 0.3836,                0.48864,                0.28185,                 1.5804,                 1.5156,                 1.6914,             0.00065379,             0.00065379,             0.00065379
                     23,                 1.3255,                 1.1551,                 1.4099,                 0.6977,                0.44844,                0.52819,                 0.2872,                 1.6281,                 1.4776,                 1.7198,             0.00065313,             0.00065313,             0.00065313
                     24,                 1.3064,                 1.1587,                 1.3882,                0.70023,                 0.3718,                0.46229,                0.25265,                 1.6038,                 1.5735,                 1.7345,             0.00065247,             0.00065247,             0.00065247
                     25,                 1.3376,                  1.148,                 1.3816,                0.62879,                0.39947,                0.45489,                0.26108,                 1.6202,                 1.7559,                 1.6958,             0.00065181,             0.00065181,             0.00065181
                     26,                 1.2613,                 1.0852,                 1.3678,                0.72227,                0.44303,                 0.5004,                0.27372,                 1.6509,                 1.4576,                 1.7407,             0.00065115,             0.00065115,             0.00065115
                     27,                 1.2983,                 1.1619,                 1.4126,                0.70741,                0.43823,                0.49436,                0.27356,                 1.6053,                 1.4692,                 1.7584,             0.00065049,             0.00065049,             0.00065049
                     28,                 1.2306,                 1.0788,                 1.3612,                0.76078,                0.42808,                0.50587,                 0.2837,                 1.5915,                 1.4309,                 1.6933,             0.00064983,             0.00064983,             0.00064983
                     29,                 1.2482,                 1.0942,                 1.3822,                0.71064,                0.43274,                0.48921,                0.27541,                 1.5815,                  1.435,                 1.6843,             0.00064917,             0.00064917,             0.00064917
                     30,                 1.2274,                 1.0549,                 1.3515,                0.74795,                0.41452,                0.51689,                0.29378,                 1.5724,                 1.3568,                 1.6686,             0.00064851,             0.00064851,             0.00064851
                     31,                 1.2316,                 1.0685,                 1.3668,                0.70988,                0.41446,                0.50431,                0.28361,                 1.5822,                 1.4376,                   1.67,             0.00064785,             0.00064785,             0.00064785
                     32,                 1.2226,                 1.0145,                 1.3376,                0.73222,                0.40007,                0.53225,                0.29364,                 1.6225,                 1.4559,                 1.7172,             0.00064719,             0.00064719,             0.00064719
                     33,                  1.213,                0.99773,                 1.3324,                0.71862,                0.39671,                0.51569,                0.28628,                 1.6368,                 1.4678,                 1.7349,             0.00064653,             0.00064653,             0.00064653
                     34,                 1.1773,                0.99387,                 1.3189,                0.71911,                0.41621,                0.54538,                0.30544,                 1.5956,                 1.4014,                 1.7315,             0.00064587,             0.00064587,             0.00064587
                     35,                 1.1616,                0.98018,                 1.3044,                0.77378,                0.40884,                 0.5131,                0.29172,                 1.5777,                 1.4224,                 1.7142,             0.00064521,             0.00064521,             0.00064521
                     36,                  1.197,                 0.9651,                 1.3343,                0.70597,                0.48751,                0.54573,                 0.3066,                 1.6193,                 1.3967,                 1.7394,             0.00064455,             0.00064455,             0.00064455
                     37,                  1.108,                 0.9338,                 1.2865,                0.64698,                0.49743,                0.53517,                0.30011,                 1.6297,                  1.474,                 1.7312,             0.00064389,             0.00064389,             0.00064389
                     38,                 1.1579,                0.96386,                 1.3224,                0.68921,                 0.5019,                0.54615,                0.31425,                 1.6064,                 1.3956,                 1.6879,             0.00064323,             0.00064323,             0.00064323
                     39,                 1.1446,                0.91872,                 1.3028,                0.49569,                0.58327,                 0.5441,                0.31765,                 1.5991,                 1.3823,                 1.7046,             0.00064257,             0.00064257,             0.00064257
                     40,                  1.134,                0.92511,                 1.2774,                0.75902,                0.45399,                0.56375,                0.32564,                 1.6121,                 1.3738,                 1.7236,             0.00064191,             0.00064191,             0.00064191
                     41,                 1.1013,                0.86188,                  1.246,                0.66063,                0.53487,                0.55007,                0.31209,                 1.5629,                 1.3289,                 1.6901,             0.00064125,             0.00064125,             0.00064125
                     42,                 1.1262,                0.92646,                 1.2829,                0.77518,                0.49775,                0.55695,                0.31826,                 1.5907,                 1.3055,                 1.7277,             0.00064059,             0.00064059,             0.00064059
                     43,                 1.1059,                0.86352,                 1.2578,                 0.7123,                0.51414,                0.55912,                0.31979,                 1.5823,                  1.379,                 1.6703,             0.00063993,             0.00063993,             0.00063993
                     44,                 1.0754,                 0.8768,                  1.264,                0.79265,                0.40721,                0.52878,                0.30715,                 1.5798,                 1.5021,                 1.7032,             0.00063927,             0.00063927,             0.00063927
                     45,                 1.1163,                 0.8696,                  1.271,                0.74153,                0.47754,                0.50742,                 0.2834,                 1.5832,                 1.3428,                 1.6867,             0.00063861,             0.00063861,             0.00063861
                     46,                 1.0718,                0.82952,                 1.2315,                0.68471,                0.48262,                0.56051,                0.31862,                 1.5849,                 1.3137,                 1.7147,             0.00063795,             0.00063795,             0.00063795
                     47,                 1.0307,                 0.8187,                 1.2496,                0.72774,                0.45019,                 0.5399,                 0.3106,                 1.5431,                  1.269,                 1.6433,             0.00063729,             0.00063729,             0.00063729
                     48,                 1.0663,                0.84417,                 1.2311,                0.61133,                0.47215,                0.50078,                 0.2932,                  1.573,                 1.3688,                 1.6892,             0.00063662,             0.00063662,             0.00063662
                     49,                 1.0289,                0.79942,                 1.2301,                0.72681,                0.44673,                0.54317,                0.30854,                 1.5688,                 1.3142,                 1.7264,             0.00063596,             0.00063596,             0.00063596
                     50,                  1.051,                0.83234,                 1.2298,                 0.7908,                0.46178,                0.54423,                0.30914,                 1.5498,                 1.3655,                 1.6892,              0.0006353,              0.0006353,              0.0006353
                     51,                 1.0149,                0.78265,                 1.2129,                0.77108,                0.43682,                0.51188,                0.29799,                 1.5637,                 1.3731,                 1.6949,             0.00063464,             0.00063464,             0.00063464
                     52,                0.99559,                 0.7757,                 1.2184,                0.75457,                0.55537,                0.58293,                0.32887,                 1.5947,                 1.3287,                 1.7465,             0.00063398,             0.00063398,             0.00063398
                     53,                 1.0199,                0.78078,                 1.1987,                0.56962,                 0.5432,                0.54305,                0.32198,                  1.596,                 1.4054,                 1.7141,             0.00063332,             0.00063332,             0.00063332
                     54,                 1.0116,                0.77469,                 1.1919,                0.76407,                0.49543,                0.56131,                0.33222,                 1.5547,                 1.3531,                 1.6879,             0.00063266,             0.00063266,             0.00063266
                     55,                 1.0025,                0.75147,                 1.2063,                0.71727,                0.49349,                0.55304,                0.32464,                 1.5986,                 1.3755,                 1.7232,               0.000632,               0.000632,               0.000632
                     56,                0.97486,                 0.7497,                 1.1927,                0.78004,                0.52402,                0.57586,                0.31568,                 1.5868,                 1.3173,                 1.7588,             0.00063134,             0.00063134,             0.00063134
                     57,                0.98493,                0.74717,                 1.1966,                0.79956,                0.49754,                0.58302,                0.32915,                  1.566,                 1.2279,                 1.7289,             0.00063068,             0.00063068,             0.00063068
                     58,                0.96315,                0.71355,                 1.1712,                0.76564,                0.51486,                0.57493,                0.34823,                 1.5668,                 1.2819,                 1.7108,             0.00063002,             0.00063002,             0.00063002
                     59,                0.96516,                0.73343,                 1.1657,                0.81831,                0.49648,                0.56287,                0.33639,                 1.5535,                 1.3382,                 1.7037,             0.00062936,             0.00062936,             0.00062936
                     60,                0.97423,                0.73628,                  1.191,                0.73002,                0.53107,                0.56688,                0.31068,                 1.6032,                 1.3582,                 1.7582,              0.0006287,              0.0006287,              0.0006287
                     61,                0.95725,                0.72929,                 1.1789,                0.73191,                0.48642,                0.55413,                0.31361,                 1.5449,                 1.2906,                  1.687,             0.00062804,             0.00062804,             0.00062804
                     62,                0.94627,                0.70017,                 1.1554,                0.76665,                0.51362,                0.57205,                0.32518,                 1.5317,                 1.2904,                 1.7013,             0.00062738,             0.00062738,             0.00062738
                     63,                0.89662,                0.66767,                 1.1359,                0.78509,                0.50222,                0.58086,                 0.3313,                 1.5312,                 1.2687,                 1.6973,             0.00062672,             0.00062672,             0.00062672
                     64,                0.93206,                0.68469,                 1.1632,                0.76701,                 0.5365,                0.58139,                0.32916,                 1.5389,                 1.2464,                 1.6862,             0.00062606,             0.00062606,             0.00062606
                     65,                0.94165,                0.68162,                 1.1402,                0.75428,                0.54096,                0.57621,                0.32141,                 1.5992,                 1.3136,                 1.7381,              0.0006254,              0.0006254,              0.0006254
                     66,                0.95297,                0.68768,                 1.1365,                0.83851,                0.50765,                0.57889,                0.33788,                 1.5516,                 1.3002,                 1.7132,             0.00062474,             0.00062474,             0.00062474
                     67,                0.92896,                0.68073,                 1.1483,                0.80786,                0.47665,                0.56316,                0.31296,                 1.5743,                 1.3227,                 1.7327,             0.00062408,             0.00062408,             0.00062408
                     68,                0.87805,                0.64195,                  1.115,                0.76254,                0.50015,                0.56416,                0.33474,                 1.5708,                  1.363,                 1.7197,             0.00062342,             0.00062342,             0.00062342
                     69,                 0.8865,                 0.6372,                 1.1165,                0.73635,                0.50066,                0.55741,                 0.3286,                 1.5794,                 1.3481,                 1.7199,             0.00062276,             0.00062276,             0.00062276
                     70,                0.89529,                0.63682,                 1.1362,                0.76571,                 0.5173,                0.57467,                0.32663,                 1.5776,                  1.312,                 1.7278,              0.0006221,              0.0006221,              0.0006221
                     71,                0.89311,                0.65283,                 1.1279,                0.76915,                0.51687,                0.57166,                0.31412,                 1.5729,                 1.3096,                 1.7172,             0.00062144,             0.00062144,             0.00062144
                     72,                0.91391,                0.64302,                 1.1243,                0.74441,                0.52502,                0.57724,                 0.3215,                 1.5471,                 1.2596,                 1.7074,             0.00062078,             0.00062078,             0.00062078
                     73,                0.87968,                0.62432,                  1.094,                0.77196,                0.52052,                0.57446,                 0.3311,                 1.5763,                 1.2885,                 1.7285,             0.00062012,             0.00062012,             0.00062012
                     74,                0.87505,                0.62615,                 1.1074,                0.77851,                0.52564,                0.58955,                0.33929,                 1.5785,                 1.3656,                 1.7475,             0.00061946,             0.00061946,             0.00061946
                     75,                0.86283,                0.62191,                 1.1226,                0.75243,                0.53084,                0.58873,                0.32883,                  1.558,                 1.2875,                 1.7063,              0.0006188,              0.0006188,              0.0006188
                     76,                 0.8779,                0.64088,                 1.1203,                0.77956,                0.50814,                0.57825,                0.33687,                 1.5447,                 1.3738,                  1.678,             0.00061814,             0.00061814,             0.00061814
                     77,                0.89113,                0.64904,                 1.1316,                0.75533,                0.52897,                0.57861,                0.33504,                 1.5387,                 1.2578,                 1.7322,             0.00061748,             0.00061748,             0.00061748
                     78,                0.84452,                0.59888,                 1.1036,                0.79467,                0.51839,                0.57217,                0.32897,                 1.5882,                 1.3193,                 1.7644,             0.00061681,             0.00061681,             0.00061681
                     79,                0.84165,                0.60276,                 1.0845,                 0.7421,                0.52597,                0.58106,                0.33929,                 1.5627,                 1.3072,                 1.7293,             0.00061615,             0.00061615,             0.00061615
                     80,                 0.8502,                0.59836,                 1.0822,                0.71817,                0.51781,                0.57845,                0.33681,                 1.5427,                 1.2896,                 1.7216,             0.00061549,             0.00061549,             0.00061549
                     81,                0.86435,                0.60333,                 1.0922,                0.73462,                0.51596,                 0.5712,                0.34524,                 1.5395,                 1.2892,                 1.7369,             0.00061483,             0.00061483,             0.00061483
                     82,                0.83832,                0.61363,                 1.0842,                0.71583,                0.52991,                0.55868,                 0.3278,                 1.5684,                 1.4211,                 1.7741,             0.00061417,             0.00061417,             0.00061417
                     83,                0.82221,                0.58456,                 1.0736,                0.76918,                 0.5277,                0.58196,                0.33697,                  1.588,                 1.3205,                 1.7774,             0.00061351,             0.00061351,             0.00061351
                     84,                 0.8257,                0.61058,                  1.084,                0.82195,                0.49847,                0.57928,                0.33243,                 1.5859,                 1.2842,                 1.7624,             0.00061285,             0.00061285,             0.00061285
                     85,                0.85476,                0.60526,                 1.0944,                0.80657,                0.50507,                0.58633,                0.35137,                 1.5451,                 1.2154,                 1.7262,             0.00061219,             0.00061219,             0.00061219
                     86,                0.84923,                  0.609,                 1.1032,                0.71176,                0.52841,                 0.5598,                0.33954,                 1.5551,                 1.2932,                 1.7231,             0.00061153,             0.00061153,             0.00061153
                     87,                0.84604,                0.61291,                 1.0925,                0.83026,                0.50199,                0.59264,                0.34229,                 1.6139,                 1.3112,                 1.7771,             0.00061087,             0.00061087,             0.00061087
                     88,                0.82558,                0.59485,                 1.0806,                0.68467,                0.55662,                0.56786,                0.33141,                 1.5667,                 1.2343,                 1.7602,             0.00061021,             0.00061021,             0.00061021
                     89,                 0.7964,                0.56842,                 1.0581,                0.77185,                0.53828,                0.57692,                0.33216,                 1.5353,                 1.2293,                 1.7328,             0.00060955,             0.00060955,             0.00060955
                     90,                0.81707,                0.58881,                  1.077,                0.74712,                0.54115,                0.59171,                0.34181,                 1.5548,                 1.3821,                 1.7126,             0.00060889,             0.00060889,             0.00060889
                     91,                0.80877,                0.57527,                 1.0676,                0.75718,                0.52343,                 0.5765,                0.34605,                 1.5919,                 1.3809,                 1.7544,             0.00060823,             0.00060823,             0.00060823
                     92,                0.79905,                0.57855,                  1.066,                0.76323,                0.52947,                0.57969,                0.34857,                 1.5563,                 1.2135,                 1.7574,             0.00060757,             0.00060757,             0.00060757
                     93,                0.77714,                0.55473,                 1.0595,                0.86493,                0.49262,                0.59643,                0.34492,                 1.5377,                 1.2409,                 1.7612,             0.00060691,             0.00060691,             0.00060691
                     94,                0.78972,                0.56379,                 1.0681,                0.75944,                 0.5324,                0.59808,                0.34802,                 1.5316,                 1.2559,                  1.754,             0.00060625,             0.00060625,             0.00060625
                     95,                0.79634,                0.56622,                 1.0545,                0.77014,                0.50114,                0.58571,                 0.3464,                  1.556,                 1.2549,                 1.7397,             0.00060559,             0.00060559,             0.00060559
                     96,                0.80345,                  0.581,                 1.0893,                0.72561,                0.56976,                0.58898,                0.32868,                 1.5332,                 1.2213,                 1.7463,             0.00060493,             0.00060493,             0.00060493
                     97,                0.80151,                0.57225,                 1.0732,                  0.804,                0.53273,                0.60132,                0.34594,                 1.5456,                 1.2487,                 1.7374,             0.00060427,             0.00060427,             0.00060427
                     98,                0.76942,                0.55494,                 1.0525,                0.82463,                0.49705,                0.57841,                0.33659,                 1.5869,                 1.2721,                 1.7653,             0.00060361,             0.00060361,             0.00060361
                     99,                0.76468,                0.55077,                 1.0508,                0.79379,                0.49655,                0.57272,                0.33204,                 1.5401,                 1.2587,                 1.7553,             0.00060295,             0.00060295,             0.00060295
                    100,                 0.7836,                0.55922,                 1.0543,                0.74977,                 0.5059,                0.56417,                0.31935,                 1.5524,                 1.2841,                 1.7358,             0.00060229,             0.00060229,             0.00060229
                    101,                0.79137,                0.56594,                 1.0522,                0.82364,                0.51849,                0.58655,                0.32397,                 1.5457,                 1.2288,                 1.7927,             0.00060163,             0.00060163,             0.00060163
                    102,                0.74823,                0.54118,                 1.0469,                0.72184,                0.53396,                0.56849,                0.34526,                 1.5642,                 1.3027,                 1.7781,             0.00060097,             0.00060097,             0.00060097
                    103,                 0.7535,                0.53383,                 1.0392,                0.79285,                0.53826,                0.58738,                0.34902,                 1.5028,                  1.201,                 1.7355,             0.00060031,             0.00060031,             0.00060031
                    104,                0.76123,                0.53691,                 1.0453,                0.76368,                0.53297,                0.58989,                0.34024,                 1.5491,                 1.2638,                 1.7868,             0.00059965,             0.00059965,             0.00059965
                    105,                0.74153,                0.51702,                  1.037,                0.73839,                0.52525,                0.57882,                0.33194,                 1.5494,                 1.2819,                 1.7827,             0.00059899,             0.00059899,             0.00059899
                    106,                0.72872,                0.51554,                 1.0388,                0.73322,                0.54356,                 0.5824,                0.33984,                 1.5521,                 1.2464,                 1.7836,             0.00059833,             0.00059833,             0.00059833
                    107,                0.74783,                 0.5132,                 1.0321,                0.79014,                0.51617,                0.57471,                0.34068,                 1.5269,                 1.2596,                 1.7542,             0.00059767,             0.00059767,             0.00059767
                    108,                0.74506,                0.53921,                 1.0446,                0.78858,                0.51861,                0.57854,                0.34173,                  1.576,                  1.311,                 1.7717,             0.00059701,             0.00059701,             0.00059701
                    109,                 0.7525,                0.51999,                 1.0187,                0.74333,                0.52248,                 0.5846,                0.34757,                 1.5554,                 1.2094,                 1.7833,             0.00059634,             0.00059634,             0.00059634
                    110,                0.73569,                0.51796,                 1.0236,                0.82062,                0.50077,                0.58668,                 0.3475,                  1.544,                 1.2879,                  1.754,             0.00059568,             0.00059568,             0.00059568
                    111,                0.73642,                0.51597,                 1.0446,                0.75872,                0.53715,                0.58963,                0.33735,                 1.5348,                  1.314,                 1.7542,             0.00059502,             0.00059502,             0.00059502
                    112,                 0.7608,                0.52896,                 1.0302,                0.81733,                0.51656,                0.58543,                0.34945,                 1.5685,                 1.3165,                  1.804,             0.00059436,             0.00059436,             0.00059436
                    113,                0.71116,                0.49952,                 1.0064,                0.77758,                0.53696,                0.59822,                 0.3675,                 1.5315,                 1.2753,                 1.7653,              0.0005937,              0.0005937,              0.0005937
                    114,                0.72305,                0.50654,                  1.024,                0.78497,                0.54065,                0.60353,                0.34601,                 1.5799,                 1.2607,                 1.8047,             0.00059304,             0.00059304,             0.00059304
                    115,                0.71498,                0.50668,                 1.0304,                0.77733,                0.52592,                0.58697,                0.34617,                 1.5367,                  1.235,                 1.7502,             0.00059238,             0.00059238,             0.00059238
                    116,                0.72646,                0.49702,                 1.0169,                 0.8116,                0.53023,                0.59189,                0.35155,                 1.5434,                 1.2041,                 1.7598,             0.00059172,             0.00059172,             0.00059172
                    117,                0.71495,                0.50367,                   1.02,                0.81837,                0.53397,                0.59237,                0.35514,                 1.5295,                 1.2474,                 1.7831,             0.00059106,             0.00059106,             0.00059106
                    118,                0.70186,                0.49291,                  1.014,                0.88092,                0.50864,                0.60245,                0.35961,                 1.5454,                 1.2261,                 1.7877,              0.0005904,              0.0005904,              0.0005904
                    119,                0.70057,                0.48401,                  1.008,                0.84783,                0.51795,                0.59837,                0.35339,                 1.5692,                 1.1721,                 1.8195,             0.00058974,             0.00058974,             0.00058974
                    120,                0.68675,                0.48582,                 1.0032,                0.78193,                0.54206,                0.60097,                0.34767,                 1.5437,                 1.2767,                 1.7764,             0.00058908,             0.00058908,             0.00058908
                    121,                0.70194,                0.49629,                  1.018,                0.83368,                0.51185,                0.59465,                0.35158,                 1.5398,                 1.3078,                 1.8148,             0.00058842,             0.00058842,             0.00058842
                    122,                0.70244,                 0.4906,                 0.9969,                0.81004,                0.52187,                0.59724,                0.34537,                 1.5432,                 1.2646,                 1.8093,             0.00058776,             0.00058776,             0.00058776
                    123,                0.73822,                0.50126,                 1.0152,                0.79303,                0.53652,                0.60025,                0.35498,                 1.5479,                 1.3364,                 1.7692,              0.0005871,              0.0005871,              0.0005871
                    124,                 0.7081,                0.49693,                 1.0113,                 0.7798,                0.53817,                0.59556,                0.35009,                 1.5246,                 1.2473,                 1.7622,             0.00058644,             0.00058644,             0.00058644
                    125,                  0.688,                0.48735,                 1.0202,                0.83576,                0.51789,                0.61171,                0.36055,                 1.5479,                 1.2534,                 1.8069,             0.00058578,             0.00058578,             0.00058578
                    126,                0.71132,                 0.4915,                 1.0108,                0.80683,                0.52795,                0.59181,                0.34331,                 1.5319,                 1.2952,                 1.7813,             0.00058512,             0.00058512,             0.00058512
                    127,                0.69591,                0.49789,                 1.0219,                0.73815,                0.53958,                0.59594,                0.36034,                 1.5367,                 1.2481,                 1.7425,             0.00058446,             0.00058446,             0.00058446
                    128,                0.67773,                0.49082,                 1.0102,                0.79844,                0.49077,                0.57809,                 0.3433,                 1.5786,                 1.3227,                 1.8096,              0.0005838,              0.0005838,              0.0005838
                    129,                0.69298,                0.47908,                0.99775,                0.76397,                0.54678,                0.60238,                0.35191,                  1.554,                 1.3495,                 1.8198,             0.00058314,             0.00058314,             0.00058314
                    130,                0.66284,                0.46058,                0.99023,                0.76649,                0.55001,                0.61891,                0.36556,                 1.5226,                 1.2077,                 1.8032,             0.00058248,             0.00058248,             0.00058248
                    131,                0.68253,                0.47713,                0.98881,                0.73924,                0.56235,                0.60974,                0.33661,                  1.522,                 1.2997,                  1.786,             0.00058182,             0.00058182,             0.00058182
                    132,                0.70803,                0.48788,                 1.0078,                0.81131,                0.51532,                0.58912,                0.33548,                 1.5515,                 1.3197,                 1.7842,             0.00058116,             0.00058116,             0.00058116
                    133,                0.68316,                0.47894,                 1.0002,                0.81853,                0.50186,                0.57864,                0.33863,                  1.574,                 1.2617,                 1.8012,              0.0005805,              0.0005805,              0.0005805
                    134,                0.69399,                0.48393,                 1.0104,                0.80064,                 0.5106,                0.59143,                  0.343,                 1.5798,                 1.2252,                 1.8285,             0.00057984,             0.00057984,             0.00057984
                    135,                0.70645,                0.49733,                 1.0198,                0.78465,                0.51298,                 0.5848,                0.32833,                  1.591,                 1.2233,                 1.8362,             0.00057918,             0.00057918,             0.00057918
                    136,                0.67512,                0.47048,                0.99921,                0.79602,                 0.5184,                0.59443,                 0.3495,                 1.5771,                 1.2586,                 1.8653,             0.00057852,             0.00057852,             0.00057852
                    137,                0.68855,                0.47272,                 1.0072,                0.75058,                0.54812,                0.59687,                0.33754,                 1.5721,                 1.2949,                  1.815,             0.00057786,             0.00057786,             0.00057786
                    138,                0.69292,                0.49216,                 1.0233,                0.78395,                 0.5113,                0.58539,                0.33391,                 1.5733,                 1.2727,                 1.8586,              0.0005772,              0.0005772,              0.0005772
                    139,                0.68042,                0.47675,                 1.0054,                0.77357,                0.51395,                0.57933,                0.34779,                 1.5629,                 1.2933,                 1.8362,             0.00057653,             0.00057653,             0.00057653
                    140,                0.67427,                0.47668,                0.99705,                0.81319,                0.51379,                0.59026,                0.34561,                 1.5676,                 1.2604,                 1.8372,             0.00057587,             0.00057587,             0.00057587
                    141,                0.64443,                0.45398,                0.98659,                0.78021,                0.50549,                0.56941,                0.34083,                 1.5355,                 1.3112,                  1.773,             0.00057521,             0.00057521,             0.00057521
                    142,                0.66922,                0.45721,                0.99315,                0.76328,                 0.5469,                 0.5888,                0.35527,                 1.5799,                 1.2734,                  1.869,             0.00057455,             0.00057455,             0.00057455
                    143,                 0.6846,                0.48502,                 1.0105,                0.75554,                0.54313,                 0.6057,                0.36024,                 1.5806,                 1.1959,                 1.8475,             0.00057389,             0.00057389,             0.00057389
                    144,                0.64888,                0.45407,                0.99439,                0.76749,                0.53842,                0.60437,                0.35306,                 1.5364,                 1.2221,                 1.8046,             0.00057323,             0.00057323,             0.00057323
                    145,                0.61693,                0.42824,                0.97332,                 0.8117,                0.53751,                0.60132,                0.35247,                  1.528,                  1.212,                 1.8347,             0.00057257,             0.00057257,             0.00057257
                    146,                0.66711,                0.47007,                0.99985,                0.79506,                0.52895,                 0.5934,                0.35362,                 1.5362,                 1.2132,                 1.8059,             0.00057191,             0.00057191,             0.00057191
                    147,                 0.6545,                0.46055,                0.99155,                0.82652,                0.52568,                 0.6009,                 0.3537,                   1.56,                 1.2938,                 1.7854,             0.00057125,             0.00057125,             0.00057125
                    148,                0.67958,                 0.4706,                0.98899,                 0.8115,                0.51672,                 0.5904,                0.35591,                   1.56,                 1.3559,                 1.8281,             0.00057059,             0.00057059,             0.00057059
                    149,                0.65471,                0.45497,                0.98446,                 0.8238,                0.53157,                0.59633,                 0.3492,                 1.5784,                 1.2593,                 1.8576,             0.00056993,             0.00056993,             0.00056993
                    150,                0.62695,                0.44076,                 0.9822,                0.77722,                0.54443,                0.60227,                0.35721,                 1.5273,                 1.2624,                 1.8098,             0.00056927,             0.00056927,             0.00056927
                    151,                 0.6481,                0.45736,                0.99105,                0.79217,                0.53599,                0.60098,                0.34856,                 1.5401,                   1.23,                 1.8303,             0.00056861,             0.00056861,             0.00056861
                    152,                0.65653,                0.45643,                0.98005,                0.77742,                0.54204,                0.60073,                0.35594,                 1.5451,                 1.2594,                 1.8356,             0.00056795,             0.00056795,             0.00056795
                    153,                0.62797,                0.43747,                0.97723,                0.76288,                0.53959,                0.59292,                0.35031,                 1.5752,                 1.3268,                 1.8554,             0.00056729,             0.00056729,             0.00056729
