                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4469,                 3.0787,                   1.55,                0.47572,                 0.2871,                0.28748,                0.15533,                  1.563,                 3.8809,                  1.681,             0.00021344,             0.00021344,             0.00021344
                      2,                 1.5232,                  2.138,                 1.5989,                0.23348,                0.30162,                0.17206,                0.07304,                 1.8831,                 11.667,                  2.321,             0.00043312,             0.00043312,             0.00043312
                      3,                 1.6647,                 2.1728,                 1.6774,                0.31172,                0.25102,                0.12902,                0.05279,                 2.1272,                  27.65,                 2.6023,             0.00065237,             0.00065237,             0.00065237
                      4,                 1.7369,                 2.2527,                 1.7441,                0.29037,                0.26468,                0.20516,                0.09564,                 1.8568,                 6.2406,                 2.2674,             0.00066502,             0.00066502,             0.00066502
                      5,                 1.7329,                 2.0388,                 1.7335,                0.23501,                0.21938,                0.16128,                0.07175,                  2.029,                 9.3246,                 2.3493,             0.00066502,             0.00066502,             0.00066502
                      6,                 1.6165,                 1.8123,                 1.6522,                0.52784,                0.31525,                0.31224,                0.15866,                 1.8561,                  3.378,                 2.0228,             0.00066436,             0.00066436,             0.00066436
                      7,                 1.6105,                 1.7765,                 1.6549,                0.47968,                0.32823,                0.34478,                0.18129,                 1.7701,                 2.3031,                 1.9403,              0.0006637,              0.0006637,              0.0006637
                      8,                  1.659,                  1.759,                 1.6475,                0.47239,                0.33513,                0.32319,                0.16033,                 1.7962,                 2.9181,                 1.9739,             0.00066304,             0.00066304,             0.00066304
                      9,                 1.6359,                 1.7363,                 1.6619,                0.50395,                0.28892,                 0.3279,                 0.1516,                 1.8474,                 2.2229,                 1.9862,             0.00066238,             0.00066238,             0.00066238
                     10,                 1.5641,                 1.6672,                 1.6373,                0.59065,                0.30798,                0.32233,                0.15482,                 1.9433,                 2.2557,                 2.0725,             0.00066172,             0.00066172,             0.00066172
                     11,                 1.5694,                  1.608,                  1.564,                0.62393,                 0.4015,                0.40372,                0.22371,                  1.686,                  1.771,                 1.7959,             0.00066106,             0.00066106,             0.00066106
