                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5732,                 5.1204,                 1.6154,                0.43691,                0.27453,                0.24182,                0.13235,                 1.4939,                 2.6665,                 1.6091,             0.00021344,             0.00021344,             0.00021344
                      2,                 1.4708,                 2.1011,                 1.5207,                0.63291,                0.29108,                0.32603,                0.17369,                 1.6375,                 2.2235,                 1.7564,             0.00043312,             0.00043312,             0.00043312
                      3,                 1.4907,                 1.8019,                 1.5125,                0.51197,                0.30132,                 0.3773,                 0.2005,                 1.6491,                 2.0414,                 1.7188,             0.00065237,             0.00065237,             0.00065237
                      4,                 1.4603,                 1.7069,                 1.4911,                0.54095,                0.31622,                0.33753,                0.17389,                 1.6791,                 1.9921,                 1.7548,             0.00066502,             0.00066502,             0.00066502
                      5,                 1.4953,                 1.5684,                 1.4844,                0.60357,                0.32786,                0.43589,                0.23554,                 1.6645,                 1.8326,                 1.6921,             0.00066502,             0.00066502,             0.00066502
                      6,                 1.3951,                 1.4318,                 1.4429,                0.52716,                0.39759,                0.41238,                0.21235,                 1.7161,                 1.7503,                 1.7891,             0.00066436,             0.00066436,             0.00066436
                      7,                 1.4443,                 1.4074,                 1.4584,                0.65462,                0.34323,                0.42726,                0.23136,                 1.6458,                 1.7468,                 1.7144,              0.0006637,              0.0006637,              0.0006637
                      8,                 1.4726,                 1.3984,                 1.4569,                0.64356,                0.39137,                0.49267,                 0.2642,                  1.613,                 1.6606,                 1.6704,             0.00066304,             0.00066304,             0.00066304
                      9,                 1.4534,                 1.3876,                 1.4553,                0.61068,                0.40916,                0.44843,                0.23913,                  1.645,                 1.6417,                 1.6582,             0.00066238,             0.00066238,             0.00066238
                     10,                 1.3856,                 1.3223,                 1.4474,                0.68007,                0.39243,                0.48858,                0.26278,                 1.6342,                  1.575,                 1.7268,             0.00066172,             0.00066172,             0.00066172
                     11,                 1.3986,                 1.2775,                 1.3962,                0.68225,                 0.4284,                 0.4862,                 0.2614,                 1.5815,                 1.5051,                 1.6345,             0.00066106,             0.00066106,             0.00066106
                     12,                 1.3489,                  1.207,                  1.393,                0.66445,                0.43415,                0.45552,                0.24966,                 1.5785,                 1.4421,                 1.6054,              0.0006604,              0.0006604,              0.0006604
                     13,                 1.3375,                 1.1548,                 1.3836,                0.68241,                0.47125,                0.48842,                0.25219,                  1.593,                 1.4494,                  1.647,             0.00065974,             0.00065974,             0.00065974
                     14,                 1.3396,                 1.1386,                 1.3614,                0.69197,                0.44839,                0.48383,                0.25863,                 1.5788,                 1.4712,                  1.618,             0.00065908,             0.00065908,             0.00065908
                     15,                 1.3188,                 1.1365,                 1.3574,                0.65706,                0.43738,                0.46853,                0.25374,                  1.563,                 1.4878,                 1.5984,             0.00065842,             0.00065842,             0.00065842
                     16,                 1.2858,                  1.107,                  1.349,                0.65225,                0.44012,                0.47294,                0.25898,                 1.5553,                 1.4588,                 1.6169,             0.00065776,             0.00065776,             0.00065776
                     17,                 1.2673,                 1.0667,                 1.3367,                0.72072,                0.42272,                0.54602,                0.31471,                 1.5108,                 1.3991,                  1.569,              0.0006571,              0.0006571,              0.0006571
                     18,                  1.245,                 1.0485,                 1.3188,                0.75646,                0.44651,                0.54849,                0.32024,                 1.5319,                 1.3746,                 1.5906,             0.00065643,             0.00065643,             0.00065643
                     19,                 1.2597,                  1.046,                 1.3285,                0.73604,                0.43465,                0.54413,                0.31326,                 1.5519,                 1.4795,                 1.5944,             0.00065577,             0.00065577,             0.00065577
